INFO: 16:36:01.272933 main.go:29: ID:8 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 16:36:01.273403 messenger.go:85: Receive from Server 0 on tcp://*:4800
INFO: 16:36:01.275330 messenger.go:102: Send to Server 0 on tcp://localhost:4008
INFO: 16:36:01.276290 messenger.go:85: Receive from Server 1 on tcp://*:4801
INFO: 16:36:01.281401 messenger.go:102: Send to Server 1 on tcp://localhost:4108
INFO: 16:36:01.281555 messenger.go:85: Receive from Server 2 on tcp://*:4802
INFO: 16:36:01.281749 messenger.go:102: Send to Server 2 on tcp://localhost:4208
INFO: 16:36:01.281989 messenger.go:85: Receive from Server 3 on tcp://*:4803
INFO: 16:36:01.282171 messenger.go:102: Send to Server 3 on tcp://localhost:4308
INFO: 16:36:01.282355 messenger.go:85: Receive from Server 4 on tcp://*:4804
INFO: 16:36:01.282538 messenger.go:102: Send to Server 4 on tcp://localhost:4408
INFO: 16:36:01.282750 messenger.go:85: Receive from Server 5 on tcp://*:4805
INFO: 16:36:01.283112 messenger.go:102: Send to Server 5 on tcp://localhost:4508
INFO: 16:36:01.283376 messenger.go:85: Receive from Server 6 on tcp://*:4806
INFO: 16:36:01.283605 messenger.go:102: Send to Server 6 on tcp://localhost:4608
INFO: 16:36:01.283884 messenger.go:85: Receive from Server 7 on tcp://*:4807
INFO: 16:36:01.284276 messenger.go:102: Send to Server 7 on tcp://localhost:4708
INFO: 16:36:01.284538 messenger.go:85: Receive from Server 9 on tcp://*:4809
INFO: 16:36:01.284758 messenger.go:102: Send to Server 9 on tcp://localhost:4908
INFO: 16:36:01.284948 messenger.go:108: -----------------------------------------
INFO: 16:36:01.285002 messenger.go:130: Requests from Client 0 on tcp://*:7800
INFO: 16:36:01.285121 messenger.go:147: Response to Client 0 on tcp://*:10800
INFO: 16:36:01.287908 messenger.go:150: -----------------------------------------

INFO: 16:36:01.302038 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 16:36:01.418332 messenger.go:265: SENT BVB to 9
INFO: 16:36:01.419381 messenger.go:265: SENT BVB to 2
INFO: 16:36:01.419564 messenger.go:265: SENT BVB to 3
INFO: 16:36:01.419888 messenger.go:265: SENT BVB to 6
INFO: 16:36:01.420216 messenger.go:341: RECEIVED BVB from 6
INFO: 16:36:01.420311 messenger.go:265: SENT BVB to 0
INFO: 16:36:01.420492 messenger.go:265: SENT BVB to 5
INFO: 16:36:01.429177 messenger.go:265: SENT BVB to 1
INFO: 16:36:01.429904 messenger.go:265: SENT BVB to 4
INFO: 16:36:01.434849 messenger.go:341: RECEIVED BVB from 0
INFO: 16:36:01.436418 messenger.go:341: RECEIVED BVB from 5
INFO: 16:36:01.448659 messenger.go:341: RECEIVED BVB from 7
INFO: 16:36:01.460185 messenger.go:341: RECEIVED BVB from 3
INFO: 16:36:01.467274 messenger.go:341: RECEIVED BVB from 4
INFO: 16:36:01.468511 binary_consensus.go:148: 4.BC: bin_values-[1]
INFO: 16:36:01.468454 messenger.go:341: RECEIVED BC from 3
INFO: 16:36:01.469929 messenger.go:341: RECEIVED BVB from 1
INFO: 16:36:01.471663 messenger.go:341: RECEIVED BVB from 2
INFO: 16:36:01.472860 messenger.go:341: RECEIVED BVB from 9
INFO: 16:36:01.473876 messenger.go:341: RECEIVED BC from 1
INFO: 16:36:01.474493 messenger.go:341: RECEIVED BC from 9
INFO: 16:36:01.505655 messenger.go:265: SENT BVB to 7
INFO: 16:36:01.506005 messenger.go:341: RECEIVED BC from 2
INFO: 16:36:01.517141 messenger.go:341: RECEIVED BC from 6
INFO: 16:36:01.517999 messenger.go:341: RECEIVED BC from 5
INFO: 16:36:01.522583 messenger.go:341: RECEIVED BC from 7
INFO: 16:36:01.522799 binary_consensus.go:77: 4.BC: vals-[1] coin-0
INFO: 16:36:01.522839 binary_consensus.go:23: 7.BC: bcid-1 round-2
INFO: 16:36:01.532319 messenger.go:265: SENT BC to 6
INFO: 16:36:01.532479 messenger.go:341: RECEIVED BVB from 6
INFO: 16:36:01.532539 messenger.go:265: SENT BC to 0
INFO: 16:36:01.532565 messenger.go:265: SENT BC to 1
INFO: 16:36:01.552173 messenger.go:341: RECEIVED BVB from 1
INFO: 16:36:01.554353 messenger.go:341: RECEIVED BVB from 3
