INFO: 19:48:46.849500 main.go:29: ID:0 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 19:48:46.855546 messenger.go:85: Receive from Server 1 on tcp://*:4001
INFO: 19:48:46.855783 messenger.go:102: Send to Server 1 on tcp://localhost:4100
INFO: 19:48:46.855858 messenger.go:85: Receive from Server 2 on tcp://*:4002
INFO: 19:48:46.855904 messenger.go:102: Send to Server 2 on tcp://localhost:4200
INFO: 19:48:46.855948 messenger.go:85: Receive from Server 3 on tcp://*:4003
INFO: 19:48:46.855989 messenger.go:102: Send to Server 3 on tcp://localhost:4300
INFO: 19:48:46.856031 messenger.go:85: Receive from Server 4 on tcp://*:4004
INFO: 19:48:46.856072 messenger.go:102: Send to Server 4 on tcp://localhost:4400
INFO: 19:48:46.856117 messenger.go:85: Receive from Server 5 on tcp://*:4005
INFO: 19:48:46.856163 messenger.go:102: Send to Server 5 on tcp://localhost:4500
INFO: 19:48:46.856207 messenger.go:85: Receive from Server 6 on tcp://*:4006
INFO: 19:48:46.856248 messenger.go:102: Send to Server 6 on tcp://localhost:4600
INFO: 19:48:46.856293 messenger.go:85: Receive from Server 7 on tcp://*:4007
INFO: 19:48:46.856343 messenger.go:102: Send to Server 7 on tcp://localhost:4700
INFO: 19:48:46.856386 messenger.go:85: Receive from Server 8 on tcp://*:4008
INFO: 19:48:46.856532 messenger.go:102: Send to Server 8 on tcp://localhost:4800
INFO: 19:48:46.856609 messenger.go:85: Receive from Server 9 on tcp://*:4009
INFO: 19:48:46.856656 messenger.go:102: Send to Server 9 on tcp://localhost:4900
INFO: 19:48:46.856678 messenger.go:108: -----------------------------------------
INFO: 19:48:46.856720 messenger.go:130: Requests from Client 0 on tcp://*:7000
INFO: 19:48:46.856766 messenger.go:147: Response to Client 0 on tcp://*:10000
INFO: 19:48:46.856813 messenger.go:150: -----------------------------------------

INFO: 19:48:46.861280 main.go:83: Initial estimate value:  0
INFO: 19:48:46.861331 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 19:48:46.977110 messenger.go:265: SENT BVB to 6
INFO: 19:48:46.984897 messenger.go:265: SENT BVB to 9
INFO: 19:48:46.986428 messenger.go:341: RECEIVED BVB from 9
INFO: 19:48:46.987745 messenger.go:341: RECEIVED BVB from 6
INFO: 19:48:46.987938 messenger.go:341: RECEIVED BVB from 7
INFO: 19:48:46.988122 messenger.go:265: SENT BVB to 7
INFO: 19:48:46.988702 messenger.go:341: RECEIVED BVB from 4
INFO: 19:48:46.990561 messenger.go:341: RECEIVED BVB from 1
INFO: 19:48:46.996865 messenger.go:341: RECEIVED BVB from 8
INFO: 19:48:46.997781 messenger.go:341: RECEIVED BVB from 2
INFO: 19:48:47.003149 messenger.go:265: SENT BVB to 1
INFO: 19:48:47.003887 messenger.go:341: RECEIVED BVB from 5
INFO: 19:48:47.029651 messenger.go:341: RECEIVED BVB from 3
INFO: 19:48:47.033667 messenger.go:265: SENT BVB to 4
INFO: 19:48:47.039157 messenger.go:341: RECEIVED BVB from 7
INFO: 19:48:47.043367 messenger.go:265: SENT BVB to 3
INFO: 19:48:47.050242 messenger.go:341: RECEIVED BVB from 2
INFO: 19:48:47.052673 messenger.go:265: SENT BVB to 2
INFO: 19:48:47.053245 messenger.go:341: RECEIVED BVB from 1
INFO: 19:48:47.060256 messenger.go:265: SENT BVB to 8
INFO: 19:48:47.063409 messenger.go:265: SENT BVB to 5
INFO: 19:48:47.063932 messenger.go:341: RECEIVED BVB from 6
INFO: 19:48:47.064075 messenger.go:265: SENT BVB to 5
INFO: 19:48:47.096065 messenger.go:265: SENT BVB to 7
INFO: 19:48:47.096110 messenger.go:265: SENT BVB to 6
INFO: 19:48:47.096969 messenger.go:341: RECEIVED BVB from 5
INFO: 19:48:47.097457 messenger.go:341: RECEIVED BC from 2
INFO: 19:48:47.097568 messenger.go:265: SENT BVB to 2
