INFO: 17:35:25.217642 main.go:29: ID:7 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 17:35:25.218812 messenger.go:115: Receive from Server 0 on tcp://*:4700
INFO: 17:35:25.219086 messenger.go:132: Send to Server 0 on tcp://localhost:4007
INFO: 17:35:25.219229 messenger.go:115: Receive from Server 1 on tcp://*:4701
INFO: 17:35:25.219334 messenger.go:132: Send to Server 1 on tcp://localhost:4107
INFO: 17:35:25.219443 messenger.go:115: Receive from Server 2 on tcp://*:4702
INFO: 17:35:25.219552 messenger.go:132: Send to Server 2 on tcp://localhost:4207
INFO: 17:35:25.219657 messenger.go:115: Receive from Server 3 on tcp://*:4703
INFO: 17:35:25.219759 messenger.go:132: Send to Server 3 on tcp://localhost:4307
INFO: 17:35:25.219872 messenger.go:115: Receive from Server 4 on tcp://*:4704
INFO: 17:35:25.219977 messenger.go:132: Send to Server 4 on tcp://localhost:4407
INFO: 17:35:25.220088 messenger.go:115: Receive from Server 5 on tcp://*:4705
INFO: 17:35:25.220199 messenger.go:132: Send to Server 5 on tcp://localhost:4507
INFO: 17:35:25.220307 messenger.go:115: Receive from Server 6 on tcp://*:4706
INFO: 17:35:25.220406 messenger.go:132: Send to Server 6 on tcp://localhost:4607
INFO: 17:35:25.220514 messenger.go:115: Receive from Server 8 on tcp://*:4708
INFO: 17:35:25.220616 messenger.go:132: Send to Server 8 on tcp://localhost:4807
INFO: 17:35:25.246239 messenger.go:115: Receive from Server 9 on tcp://*:4709
INFO: 17:35:25.247610 messenger.go:132: Send to Server 9 on tcp://localhost:4907
INFO: 17:35:25.247666 messenger.go:138: -----------------------------------------
INFO: 17:35:25.247725 messenger.go:160: Requests from Client 0 on tcp://*:7700
INFO: 17:35:25.247807 messenger.go:177: Response to Client 0 on tcp://*:10700
INFO: 17:35:25.247830 messenger.go:182: -----------------------------------------

INFO: 17:35:25.259047 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 17:35:25.388231 messenger.go:426: SENT BVB to 0
INFO: 17:35:25.399297 messenger.go:502: RECEIVED BVB from 6
INFO: 17:35:25.430695 messenger.go:502: RECEIVED BVB from 1
INFO: 17:35:25.431786 messenger.go:502: RECEIVED BVB from 4
INFO: 17:35:25.433201 messenger.go:502: RECEIVED BVB from 5
INFO: 17:35:25.435322 messenger.go:502: RECEIVED BVB from 8
INFO: 17:35:25.457365 messenger.go:426: SENT BVB to 6
INFO: 17:35:25.456339 messenger.go:502: RECEIVED BVB from 0
INFO: 17:35:25.456382 messenger.go:426: SENT BVB to 2
INFO: 17:35:25.456387 messenger.go:426: SENT BVB to 1
INFO: 17:35:25.456515 messenger.go:502: RECEIVED BVB from 2
INFO: 17:35:25.456518 messenger.go:426: SENT BVB to 9
INFO: 17:35:25.456519 messenger.go:426: SENT BVB to 5
INFO: 17:35:25.457295 messenger.go:502: RECEIVED BC from 0
INFO: 17:35:25.456521 messenger.go:426: SENT BVB to 4
INFO: 17:35:25.475828 messenger.go:426: SENT BVB to 3
INFO: 17:35:25.476500 messenger.go:502: RECEIVED BVB from 3
INFO: 17:35:25.477148 messenger.go:502: RECEIVED BC from 9
INFO: 17:35:25.477602 messenger.go:502: RECEIVED BC from 4
INFO: 17:35:25.477691 messenger.go:502: RECEIVED BVB from 9
INFO: 17:35:25.485601 messenger.go:502: RECEIVED BC from 2
INFO: 17:35:25.486703 binary_consensus.go:148: 4.BC: bin_values-[0]
INFO: 17:35:25.491808 messenger.go:502: RECEIVED BC from 6
INFO: 17:35:25.499076 messenger.go:426: SENT BC to 4
INFO: 17:35:25.499435 messenger.go:426: SENT BC to 2
INFO: 17:35:25.499893 messenger.go:426: SENT BC to 6
INFO: 17:35:25.499894 messenger.go:426: SENT BC to 3
INFO: 17:35:25.500243 messenger.go:502: RECEIVED BC from 3
INFO: 17:35:25.500285 messenger.go:426: SENT BC to 1
INFO: 17:35:25.501137 messenger.go:426: SENT BVB to 8
INFO: 17:35:25.501750 binary_consensus.go:77: 4.BC: vals-[0] coin-0
INFO: 17:35:25.501800 binary_consensus.go:82: 4.BC: decide-0
INFO: 17:35:25.502946 messenger.go:426: SENT BC to 0
INFO: 17:35:25.500972 messenger.go:426: SENT BC to 5
INFO: 17:35:25.504393 messenger.go:426: SENT BC to 8
INFO: 17:35:25.510807 messenger.go:502: RECEIVED BC from 5
INFO: 17:35:25.516114 messenger.go:426: SENT BC to 9
INFO: 17:35:25.527338 messenger.go:502: RECEIVED BC from 1
INFO: 17:35:25.529440 messenger.go:502: RECEIVED BC from 8
