INFO: 16:35:06.378287 main.go:29: ID:3 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 16:35:06.381573 messenger.go:85: Receive from Server 0 on tcp://*:4300
INFO: 16:35:06.381787 messenger.go:102: Send to Server 0 on tcp://localhost:4003
INFO: 16:35:06.382298 messenger.go:85: Receive from Server 1 on tcp://*:4301
INFO: 16:35:06.382939 messenger.go:102: Send to Server 1 on tcp://localhost:4103
INFO: 16:35:06.383001 messenger.go:85: Receive from Server 2 on tcp://*:4302
INFO: 16:35:06.383221 messenger.go:102: Send to Server 2 on tcp://localhost:4203
INFO: 16:35:06.383269 messenger.go:85: Receive from Server 4 on tcp://*:4304
INFO: 16:35:06.383333 messenger.go:102: Send to Server 4 on tcp://localhost:4403
INFO: 16:35:06.383384 messenger.go:85: Receive from Server 5 on tcp://*:4305
INFO: 16:35:06.384479 messenger.go:102: Send to Server 5 on tcp://localhost:4503
INFO: 16:35:06.384669 messenger.go:85: Receive from Server 6 on tcp://*:4306
INFO: 16:35:06.384714 messenger.go:102: Send to Server 6 on tcp://localhost:4603
INFO: 16:35:06.384906 messenger.go:85: Receive from Server 7 on tcp://*:4307
INFO: 16:35:06.385093 messenger.go:102: Send to Server 7 on tcp://localhost:4703
INFO: 16:35:06.385147 messenger.go:85: Receive from Server 8 on tcp://*:4308
INFO: 16:35:06.385333 messenger.go:102: Send to Server 8 on tcp://localhost:4803
INFO: 16:35:06.385382 messenger.go:85: Receive from Server 9 on tcp://*:4309
INFO: 16:35:06.385576 messenger.go:102: Send to Server 9 on tcp://localhost:4903
INFO: 16:35:06.385586 messenger.go:108: -----------------------------------------
INFO: 16:35:06.385619 messenger.go:130: Requests from Client 0 on tcp://*:7300
INFO: 16:35:06.385829 messenger.go:147: Response to Client 0 on tcp://*:10300
INFO: 16:35:06.385973 messenger.go:150: -----------------------------------------

INFO: 16:35:06.404294 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 16:35:06.465767 messenger.go:341: RECEIVED BVB from 1
INFO: 16:35:06.469326 messenger.go:341: RECEIVED BVB from 0
INFO: 16:35:06.488996 messenger.go:265: SENT BVB to 0
INFO: 16:35:06.512690 messenger.go:265: SENT BVB to 1
INFO: 16:35:06.512782 messenger.go:265: SENT BVB to 2
INFO: 16:35:06.516302 messenger.go:341: RECEIVED BVB from 2
INFO: 16:35:06.532984 messenger.go:341: RECEIVED BVB from 7
INFO: 16:35:06.546940 messenger.go:341: RECEIVED BVB from 8
INFO: 16:35:06.564599 messenger.go:265: SENT BVB to 4
INFO: 16:35:06.565015 messenger.go:341: RECEIVED BVB from 9
INFO: 16:35:06.565511 binary_consensus.go:148: 4.BC: bin_values-[0]
INFO: 16:35:06.568735 messenger.go:341: RECEIVED BC from 1
INFO: 16:35:06.569215 messenger.go:341: RECEIVED BVB from 4
INFO: 16:35:06.576840 messenger.go:265: SENT BC to 2
INFO: 16:35:06.576857 messenger.go:265: SENT BVB to 7
INFO: 16:35:06.577139 messenger.go:341: RECEIVED BC from 0
INFO: 16:35:06.577511 messenger.go:265: SENT BC to 1
INFO: 16:35:06.579086 messenger.go:341: RECEIVED BVB from 6
INFO: 16:35:06.582486 messenger.go:265: SENT BVB to 9
INFO: 16:35:06.583521 messenger.go:341: RECEIVED BC from 2
INFO: 16:35:06.585027 messenger.go:265: SENT BC to 0
INFO: 16:35:06.589969 messenger.go:341: RECEIVED BC from 7
INFO: 16:35:06.593566 messenger.go:341: RECEIVED BVB from 5
INFO: 16:35:06.594574 messenger.go:265: SENT BVB to 6
INFO: 16:35:06.600615 messenger.go:341: RECEIVED BC from 6
INFO: 16:35:06.607348 messenger.go:265: SENT BVB to 5
INFO: 16:35:06.607886 messenger.go:265: SENT BC to 7
INFO: 16:35:06.609661 messenger.go:265: SENT BC to 5
INFO: 16:35:06.613080 messenger.go:265: SENT BC to 6
INFO: 16:35:06.616656 messenger.go:265: SENT BC to 4
INFO: 16:35:06.621864 messenger.go:341: RECEIVED BC from 8
INFO: 16:35:06.622891 messenger.go:265: SENT BVB to 8
INFO: 16:35:06.623107 binary_consensus.go:77: 4.BC: vals-[0] coin-0
INFO: 16:35:06.623155 binary_consensus.go:82: 4.BC: decide-0
INFO: 16:35:06.623175 binary_consensus.go:175: My final decision 0
INFO: 16:35:06.626198 messenger.go:265: SENT BC to 9
INFO: 16:35:06.627767 messenger.go:341: RECEIVED BC from 5
INFO: 16:35:06.630112 messenger.go:265: SENT BC to 8
INFO: 16:35:06.630311 messenger.go:341: RECEIVED BC from 9
INFO: 16:35:06.633797 messenger.go:341: RECEIVED BC from 4
