INFO: 01:44:18.934211 main.go:29: ID:9 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 01:44:18.935597 messenger.go:90: Receive from Server 0 on tcp://*:4900
INFO: 01:44:18.937081 messenger.go:107: Send to Server 0 on tcp://localhost:4009
INFO: 01:44:18.939667 messenger.go:90: Receive from Server 1 on tcp://*:4901
INFO: 01:44:18.943187 messenger.go:107: Send to Server 1 on tcp://localhost:4109
INFO: 01:44:18.945069 messenger.go:90: Receive from Server 2 on tcp://*:4902
INFO: 01:44:18.945293 messenger.go:107: Send to Server 2 on tcp://localhost:4209
INFO: 01:44:18.945566 messenger.go:90: Receive from Server 3 on tcp://*:4903
INFO: 01:44:18.945836 messenger.go:107: Send to Server 3 on tcp://localhost:4309
INFO: 01:44:18.946564 messenger.go:90: Receive from Server 4 on tcp://*:4904
INFO: 01:44:18.946770 messenger.go:107: Send to Server 4 on tcp://localhost:4409
INFO: 01:44:18.946993 messenger.go:90: Receive from Server 5 on tcp://*:4905
INFO: 01:44:18.947132 messenger.go:107: Send to Server 5 on tcp://localhost:4509
INFO: 01:44:18.947557 messenger.go:90: Receive from Server 6 on tcp://*:4906
INFO: 01:44:18.950592 messenger.go:107: Send to Server 6 on tcp://localhost:4609
INFO: 01:44:18.950745 messenger.go:90: Receive from Server 7 on tcp://*:4907
INFO: 01:44:18.951064 messenger.go:107: Send to Server 7 on tcp://localhost:4709
INFO: 01:44:18.951347 messenger.go:90: Receive from Server 8 on tcp://*:4908
INFO: 01:44:18.951484 messenger.go:107: Send to Server 8 on tcp://localhost:4809
INFO: 01:44:18.951622 messenger.go:113: -----------------------------------------
INFO: 01:44:18.951846 messenger.go:135: Requests from Client 0 on tcp://*:7900
INFO: 01:44:18.952088 messenger.go:152: Response to Client 0 on tcp://*:10900
INFO: 01:44:18.952267 messenger.go:155: -----------------------------------------

INFO: 01:44:18.957325 main.go:83: Initial estimate value:  0
INFO: 01:44:18.996383 messenger.go:346: RECEIVED EST from 6
INFO: 01:44:19.019800 messenger.go:270: SENT EST to 0
INFO: 01:44:19.021255 messenger.go:270: SENT EST to 8
INFO: 01:44:19.021317 messenger.go:270: SENT EST to 1
INFO: 01:44:19.051158 messenger.go:270: SENT EST to 2
INFO: 01:44:19.051519 messenger.go:270: SENT EST to 2
INFO: 01:44:19.051597 messenger.go:270: SENT EST to 3
INFO: 01:44:19.052527 messenger.go:270: SENT EST to 5
INFO: 01:44:19.053727 messenger.go:346: RECEIVED EST from 8
INFO: 01:44:19.058692 messenger.go:346: RECEIVED EST from 6
INFO: 01:44:19.059057 messenger.go:270: SENT EST to 7
INFO: 01:44:19.063747 messenger.go:346: RECEIVED EST from 5
INFO: 01:44:19.058444 messenger.go:270: SENT EST to 0
INFO: 01:44:19.058446 messenger.go:270: SENT EST to 1
INFO: 01:44:19.066386 messenger.go:270: SENT EST to 1
INFO: 01:44:19.059059 messenger.go:270: SENT EST to 4
INFO: 01:44:19.058119 messenger.go:346: RECEIVED EST from 1
INFO: 01:44:19.061808 messenger.go:346: RECEIVED EST from 8
INFO: 01:44:19.062283 messenger.go:270: SENT EST to 3
INFO: 01:44:19.062294 messenger.go:270: SENT EST to 6
INFO: 01:44:19.067038 messenger.go:270: SENT EST to 2
INFO: 01:44:19.073433 messenger.go:346: RECEIVED EST from 8
INFO: 01:44:19.073436 messenger.go:270: SENT EST to 0
INFO: 01:44:19.074435 messenger.go:346: RECEIVED EST from 6
INFO: 01:44:19.074918 messenger.go:270: SENT EST to 5
INFO: 01:44:19.074942 messenger.go:270: SENT EST to 3
INFO: 01:44:19.079499 messenger.go:270: SENT EST to 6
INFO: 01:44:19.079792 messenger.go:270: SENT EST to 7
INFO: 01:44:19.082903 messenger.go:270: SENT EST to 3
INFO: 01:44:19.083094 messenger.go:346: RECEIVED EST from 5
