INFO: 19:48:46.873707 main.go:29: ID:5 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 19:48:46.874572 messenger.go:85: Receive from Server 0 on tcp://*:4500
INFO: 19:48:46.883529 messenger.go:102: Send to Server 0 on tcp://localhost:4005
INFO: 19:48:46.883776 messenger.go:85: Receive from Server 1 on tcp://*:4501
INFO: 19:48:46.883894 messenger.go:102: Send to Server 1 on tcp://localhost:4105
INFO: 19:48:46.884226 messenger.go:85: Receive from Server 2 on tcp://*:4502
INFO: 19:48:46.884297 messenger.go:102: Send to Server 2 on tcp://localhost:4205
INFO: 19:48:46.884379 messenger.go:85: Receive from Server 3 on tcp://*:4503
INFO: 19:48:46.884424 messenger.go:102: Send to Server 3 on tcp://localhost:4305
INFO: 19:48:46.884497 messenger.go:85: Receive from Server 4 on tcp://*:4504
INFO: 19:48:46.884548 messenger.go:102: Send to Server 4 on tcp://localhost:4405
INFO: 19:48:46.884620 messenger.go:85: Receive from Server 6 on tcp://*:4506
INFO: 19:48:46.884664 messenger.go:102: Send to Server 6 on tcp://localhost:4605
INFO: 19:48:46.884737 messenger.go:85: Receive from Server 7 on tcp://*:4507
INFO: 19:48:46.884781 messenger.go:102: Send to Server 7 on tcp://localhost:4705
INFO: 19:48:46.884852 messenger.go:85: Receive from Server 8 on tcp://*:4508
INFO: 19:48:46.884901 messenger.go:102: Send to Server 8 on tcp://localhost:4805
INFO: 19:48:46.884976 messenger.go:85: Receive from Server 9 on tcp://*:4509
INFO: 19:48:46.887752 messenger.go:102: Send to Server 9 on tcp://localhost:4905
INFO: 19:48:46.888741 messenger.go:108: -----------------------------------------
INFO: 19:48:46.888805 messenger.go:130: Requests from Client 0 on tcp://*:7500
INFO: 19:48:46.888886 messenger.go:147: Response to Client 0 on tcp://*:10500
INFO: 19:48:46.888908 messenger.go:150: -----------------------------------------

INFO: 19:48:46.898706 main.go:83: Initial estimate value:  1
INFO: 19:48:46.908556 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 19:48:47.015086 messenger.go:265: SENT BVB to 9
INFO: 19:48:47.015215 messenger.go:341: RECEIVED BVB from 1
INFO: 19:48:47.035609 messenger.go:341: RECEIVED BVB from 2
INFO: 19:48:47.016440 messenger.go:265: SENT BVB to 2
INFO: 19:48:47.033138 messenger.go:265: SENT BVB to 7
INFO: 19:48:47.034220 messenger.go:341: RECEIVED BVB from 6
INFO: 19:48:47.034596 messenger.go:341: RECEIVED BVB from 3
INFO: 19:48:47.040051 messenger.go:265: SENT BVB to 0
INFO: 19:48:47.052904 messenger.go:341: RECEIVED BVB from 9
INFO: 19:48:47.054132 messenger.go:341: RECEIVED BVB from 4
INFO: 19:48:47.055087 messenger.go:341: RECEIVED BVB from 2
INFO: 19:48:47.055089 messenger.go:265: SENT BVB to 4
INFO: 19:48:47.055305 messenger.go:265: SENT BVB to 3
INFO: 19:48:47.055449 messenger.go:265: SENT BVB to 8
INFO: 19:48:47.058972 messenger.go:265: SENT BVB to 6
INFO: 19:48:47.064080 messenger.go:341: RECEIVED BVB from 0
INFO: 19:48:47.064250 messenger.go:341: RECEIVED BVB from 0
INFO: 19:48:47.071989 messenger.go:341: RECEIVED BVB from 8
INFO: 19:48:47.079494 messenger.go:341: RECEIVED BVB from 7
INFO: 19:48:47.087644 messenger.go:341: RECEIVED BVB from 7
INFO: 19:48:47.098697 messenger.go:341: RECEIVED BVB from 6
INFO: 19:48:47.099899 messenger.go:265: SENT BVB to 0
INFO: 19:48:47.103775 messenger.go:341: RECEIVED BVB from 8
INFO: 19:48:47.106410 messenger.go:341: RECEIVED BC from 2
INFO: 19:48:47.106854 messenger.go:265: SENT BVB to 1
INFO: 19:48:47.107142 messenger.go:265: SENT BVB to 2
INFO: 19:48:47.109920 messenger.go:265: SENT BVB to 7
