INFO: 16:35:06.453133 main.go:29: ID:6 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 16:35:06.454254 messenger.go:85: Receive from Server 0 on tcp://*:4600
INFO: 16:35:06.456902 messenger.go:102: Send to Server 0 on tcp://localhost:4006
INFO: 16:35:06.459250 messenger.go:85: Receive from Server 1 on tcp://*:4601
INFO: 16:35:06.459637 messenger.go:102: Send to Server 1 on tcp://localhost:4106
INFO: 16:35:06.459912 messenger.go:85: Receive from Server 2 on tcp://*:4602
INFO: 16:35:06.462851 messenger.go:102: Send to Server 2 on tcp://localhost:4206
INFO: 16:35:06.463126 messenger.go:85: Receive from Server 3 on tcp://*:4603
INFO: 16:35:06.463198 messenger.go:102: Send to Server 3 on tcp://localhost:4306
INFO: 16:35:06.463742 messenger.go:85: Receive from Server 4 on tcp://*:4604
INFO: 16:35:06.463878 messenger.go:102: Send to Server 4 on tcp://localhost:4406
INFO: 16:35:06.463986 messenger.go:85: Receive from Server 5 on tcp://*:4605
INFO: 16:35:06.468082 messenger.go:102: Send to Server 5 on tcp://localhost:4506
INFO: 16:35:06.476576 messenger.go:85: Receive from Server 7 on tcp://*:4607
INFO: 16:35:06.476675 messenger.go:102: Send to Server 7 on tcp://localhost:4706
INFO: 16:35:06.476728 messenger.go:85: Receive from Server 8 on tcp://*:4608
INFO: 16:35:06.477444 messenger.go:102: Send to Server 8 on tcp://localhost:4806
INFO: 16:35:06.477518 messenger.go:85: Receive from Server 9 on tcp://*:4609
INFO: 16:35:06.479977 messenger.go:102: Send to Server 9 on tcp://localhost:4906
INFO: 16:35:06.480023 messenger.go:108: -----------------------------------------
INFO: 16:35:06.480090 messenger.go:130: Requests from Client 0 on tcp://*:7600
INFO: 16:35:06.480341 messenger.go:147: Response to Client 0 on tcp://*:10600
INFO: 16:35:06.480377 messenger.go:150: -----------------------------------------

INFO: 16:35:06.487606 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 16:35:06.565707 messenger.go:341: RECEIVED BVB from 0
INFO: 16:35:06.578590 messenger.go:265: SENT BVB to 2
INFO: 16:35:06.578961 messenger.go:265: SENT BVB to 3
INFO: 16:35:06.579266 messenger.go:265: SENT BVB to 1
INFO: 16:35:06.580282 messenger.go:265: SENT BVB to 9
INFO: 16:35:06.580539 messenger.go:341: RECEIVED BVB from 9
INFO: 16:35:06.580993 messenger.go:341: RECEIVED BVB from 7
INFO: 16:35:06.581697 messenger.go:341: RECEIVED BVB from 1
INFO: 16:35:06.587177 messenger.go:341: RECEIVED BC from 0
INFO: 16:35:06.590723 messenger.go:341: RECEIVED BVB from 2
INFO: 16:35:06.592606 messenger.go:265: SENT BVB to 7
INFO: 16:35:06.594492 messenger.go:341: RECEIVED BVB from 3
INFO: 16:35:06.592602 messenger.go:341: RECEIVED BVB from 8
INFO: 16:35:06.595230 messenger.go:341: RECEIVED BC from 7
INFO: 16:35:06.596044 messenger.go:341: RECEIVED BC from 1
INFO: 16:35:06.596154 messenger.go:265: SENT BVB to 5
INFO: 16:35:06.596170 messenger.go:265: SENT BVB to 0
INFO: 16:35:06.596251 binary_consensus.go:148: 4.BC: bin_values-[0]
INFO: 16:35:06.612422 messenger.go:341: RECEIVED BVB from 4
INFO: 16:35:06.612557 messenger.go:341: RECEIVED BC from 3
INFO: 16:35:06.613569 messenger.go:341: RECEIVED BC from 2
INFO: 16:35:06.612559 messenger.go:265: SENT BVB to 8
INFO: 16:35:06.612561 messenger.go:265: SENT BC to 3
INFO: 16:35:06.612562 messenger.go:265: SENT BC to 1
INFO: 16:35:06.616810 messenger.go:265: SENT BC to 2
INFO: 16:35:06.616877 messenger.go:265: SENT BC to 0
INFO: 16:35:06.622143 messenger.go:341: RECEIVED BC from 9
INFO: 16:35:06.622841 messenger.go:341: RECEIVED BC from 8
INFO: 16:35:06.622949 messenger.go:341: RECEIVED BVB from 5
INFO: 16:35:06.622951 messenger.go:265: SENT BVB to 4
INFO: 16:35:06.623518 binary_consensus.go:77: 4.BC: vals-[0] coin-0
INFO: 16:35:06.623555 binary_consensus.go:82: 4.BC: decide-0
INFO: 16:35:06.623576 binary_consensus.go:175: My final decision 0
INFO: 16:35:06.624428 messenger.go:265: SENT BC to 7
INFO: 16:35:06.625446 messenger.go:265: SENT BC to 4
INFO: 16:35:06.626994 messenger.go:265: SENT BC to 9
INFO: 16:35:06.628392 messenger.go:341: RECEIVED BC from 5
INFO: 16:35:06.630953 messenger.go:265: SENT BC to 5
INFO: 16:35:06.631034 messenger.go:265: SENT BC to 8
INFO: 16:35:06.634580 messenger.go:341: RECEIVED BC from 4
