INFO: 01:44:18.928778 main.go:29: ID:5 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 01:44:18.931488 messenger.go:90: Receive from Server 0 on tcp://*:4500
INFO: 01:44:18.932358 messenger.go:107: Send to Server 0 on tcp://localhost:4005
INFO: 01:44:18.934712 messenger.go:90: Receive from Server 1 on tcp://*:4501
INFO: 01:44:18.935196 messenger.go:107: Send to Server 1 on tcp://localhost:4105
INFO: 01:44:18.935807 messenger.go:90: Receive from Server 2 on tcp://*:4502
INFO: 01:44:18.936523 messenger.go:107: Send to Server 2 on tcp://localhost:4205
INFO: 01:44:18.936626 messenger.go:90: Receive from Server 3 on tcp://*:4503
INFO: 01:44:18.936715 messenger.go:107: Send to Server 3 on tcp://localhost:4305
INFO: 01:44:18.936814 messenger.go:90: Receive from Server 4 on tcp://*:4504
INFO: 01:44:18.936889 messenger.go:107: Send to Server 4 on tcp://localhost:4405
INFO: 01:44:18.937153 messenger.go:90: Receive from Server 6 on tcp://*:4506
INFO: 01:44:18.937362 messenger.go:107: Send to Server 6 on tcp://localhost:4605
INFO: 01:44:18.939378 messenger.go:90: Receive from Server 7 on tcp://*:4507
INFO: 01:44:18.940033 messenger.go:107: Send to Server 7 on tcp://localhost:4705
INFO: 01:44:18.943636 messenger.go:90: Receive from Server 8 on tcp://*:4508
INFO: 01:44:18.944599 messenger.go:107: Send to Server 8 on tcp://localhost:4805
INFO: 01:44:18.944962 messenger.go:90: Receive from Server 9 on tcp://*:4509
INFO: 01:44:18.945197 messenger.go:107: Send to Server 9 on tcp://localhost:4905
INFO: 01:44:18.945339 messenger.go:113: -----------------------------------------
INFO: 01:44:18.945475 messenger.go:135: Requests from Client 0 on tcp://*:7500
INFO: 01:44:18.946080 messenger.go:152: Response to Client 0 on tcp://*:10500
INFO: 01:44:18.946626 messenger.go:155: -----------------------------------------

INFO: 01:44:18.971608 main.go:83: Initial estimate value:  0
INFO: 01:44:18.978375 messenger.go:346: RECEIVED EST from 4
INFO: 01:44:18.981873 messenger.go:270: SENT EST to 0
INFO: 01:44:18.994204 messenger.go:346: RECEIVED EST from 7
INFO: 01:44:18.994267 messenger.go:270: SENT EST to 0
INFO: 01:44:18.994815 messenger.go:270: SENT EST to 2
INFO: 01:44:18.994839 messenger.go:270: SENT EST to 4
INFO: 01:44:18.982405 messenger.go:270: SENT EST to 3
INFO: 01:44:18.982491 messenger.go:270: SENT EST to 1
INFO: 01:44:18.999827 messenger.go:346: RECEIVED EST from 8
INFO: 01:44:18.999871 messenger.go:270: SENT EST to 7
INFO: 01:44:19.000089 messenger.go:270: SENT EST to 2
INFO: 01:44:19.000390 messenger.go:270: SENT EST to 3
INFO: 01:44:19.006225 messenger.go:270: SENT EST to 1
INFO: 01:44:19.010117 messenger.go:346: RECEIVED EST from 6
INFO: 01:44:19.010701 messenger.go:270: SENT EST to 2
INFO: 01:44:19.027326 messenger.go:270: SENT EST to 4
INFO: 01:44:19.037771 messenger.go:270: SENT EST to 1
INFO: 01:44:19.037833 messenger.go:270: SENT EST to 0
INFO: 01:44:19.039199 messenger.go:346: RECEIVED EST from 7
INFO: 01:44:19.039818 messenger.go:346: RECEIVED EST from 9
INFO: 01:44:19.040395 messenger.go:346: RECEIVED EST from 4
INFO: 01:44:19.042055 messenger.go:270: SENT EST to 3
INFO: 01:44:19.047256 messenger.go:346: RECEIVED EST from 8
INFO: 01:44:19.047574 messenger.go:346: RECEIVED EST from 7
INFO: 01:44:19.054520 messenger.go:270: SENT EST to 6
INFO: 01:44:19.054578 messenger.go:270: SENT EST to 4
INFO: 01:44:19.054745 messenger.go:346: RECEIVED EST from 3
INFO: 01:44:19.056479 messenger.go:346: RECEIVED EST from 0
INFO: 01:44:19.057209 messenger.go:346: RECEIVED EST from 2
INFO: 01:44:19.057277 messenger.go:270: SENT EST to 7
