INFO: 17:35:25.199874 main.go:29: ID:6 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 17:35:25.206355 messenger.go:115: Receive from Server 0 on tcp://*:4600
INFO: 17:35:25.213279 messenger.go:132: Send to Server 0 on tcp://localhost:4006
INFO: 17:35:25.214739 messenger.go:115: Receive from Server 1 on tcp://*:4601
INFO: 17:35:25.214815 messenger.go:132: Send to Server 1 on tcp://localhost:4106
INFO: 17:35:25.214862 messenger.go:115: Receive from Server 2 on tcp://*:4602
INFO: 17:35:25.214920 messenger.go:132: Send to Server 2 on tcp://localhost:4206
INFO: 17:35:25.214968 messenger.go:115: Receive from Server 3 on tcp://*:4603
INFO: 17:35:25.215067 messenger.go:132: Send to Server 3 on tcp://localhost:4306
INFO: 17:35:25.215104 messenger.go:115: Receive from Server 4 on tcp://*:4604
INFO: 17:35:25.215165 messenger.go:132: Send to Server 4 on tcp://localhost:4406
INFO: 17:35:25.215212 messenger.go:115: Receive from Server 5 on tcp://*:4605
INFO: 17:35:25.215272 messenger.go:132: Send to Server 5 on tcp://localhost:4506
INFO: 17:35:25.215320 messenger.go:115: Receive from Server 7 on tcp://*:4607
INFO: 17:35:25.215382 messenger.go:132: Send to Server 7 on tcp://localhost:4706
INFO: 17:35:25.215428 messenger.go:115: Receive from Server 8 on tcp://*:4608
INFO: 17:35:25.215491 messenger.go:132: Send to Server 8 on tcp://localhost:4806
INFO: 17:35:25.215539 messenger.go:115: Receive from Server 9 on tcp://*:4609
INFO: 17:35:25.215600 messenger.go:132: Send to Server 9 on tcp://localhost:4906
INFO: 17:35:25.215622 messenger.go:138: -----------------------------------------
INFO: 17:35:25.215657 messenger.go:160: Requests from Client 0 on tcp://*:7600
INFO: 17:35:25.215725 messenger.go:177: Response to Client 0 on tcp://*:10600
INFO: 17:35:25.215830 messenger.go:182: -----------------------------------------

INFO: 17:35:25.238419 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 17:35:25.328564 messenger.go:426: SENT BVB to 0
INFO: 17:35:25.329248 messenger.go:426: SENT BVB to 9
INFO: 17:35:25.332618 messenger.go:426: SENT BVB to 1
INFO: 17:35:25.357334 messenger.go:502: RECEIVED BVB from 0
INFO: 17:35:25.371658 messenger.go:502: RECEIVED BVB from 4
INFO: 17:35:25.387903 messenger.go:502: RECEIVED BVB from 1
INFO: 17:35:25.432308 messenger.go:426: SENT BVB to 4
INFO: 17:35:25.432311 messenger.go:426: SENT BVB to 7
INFO: 17:35:25.435738 messenger.go:502: RECEIVED BVB from 7
INFO: 17:35:25.386717 messenger.go:426: SENT BVB to 2
INFO: 17:35:25.386728 messenger.go:426: SENT BVB to 3
INFO: 17:35:25.386776 messenger.go:502: RECEIVED BVB from 2
INFO: 17:35:25.387317 messenger.go:502: RECEIVED BVB from 5
INFO: 17:35:25.388194 messenger.go:426: SENT BVB to 5
INFO: 17:35:25.436788 messenger.go:502: RECEIVED BC from 0
INFO: 17:35:25.438347 messenger.go:502: RECEIVED BVB from 8
INFO: 17:35:25.438450 messenger.go:426: SENT BVB to 8
INFO: 17:35:25.463435 messenger.go:502: RECEIVED BVB from 9
INFO: 17:35:25.465054 binary_consensus.go:148: 4.BC: bin_values-[0]
INFO: 17:35:25.472942 messenger.go:502: RECEIVED BC from 2
INFO: 17:35:25.474578 messenger.go:502: RECEIVED BVB from 3
INFO: 17:35:25.475941 messenger.go:502: RECEIVED BC from 4
INFO: 17:35:25.498529 messenger.go:502: RECEIVED BC from 7
INFO: 17:35:25.498637 messenger.go:426: SENT BC to 7
INFO: 17:35:25.498662 messenger.go:426: SENT BC to 5
INFO: 17:35:25.498671 messenger.go:426: SENT BC to 2
INFO: 17:35:25.498677 messenger.go:426: SENT BC to 1
INFO: 17:35:25.498682 messenger.go:426: SENT BC to 0
INFO: 17:35:25.500167 messenger.go:426: SENT BC to 4
INFO: 17:35:25.500563 messenger.go:426: SENT BC to 3
INFO: 17:35:25.502468 messenger.go:502: RECEIVED BC from 3
INFO: 17:35:25.503991 messenger.go:502: RECEIVED BC from 9
INFO: 17:35:25.504047 binary_consensus.go:77: 4.BC: vals-[0] coin-0
INFO: 17:35:25.504071 binary_consensus.go:82: 4.BC: decide-0
INFO: 17:35:25.505758 messenger.go:426: SENT BC to 9
INFO: 17:35:25.513225 messenger.go:426: SENT BC to 8
INFO: 17:35:25.520063 messenger.go:502: RECEIVED BC from 5
INFO: 17:35:25.523218 messenger.go:502: RECEIVED BC from 1
INFO: 17:35:25.531473 messenger.go:502: RECEIVED BC from 8
