INFO: 17:35:25.202676 main.go:29: ID:4 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 17:35:25.203556 messenger.go:115: Receive from Server 0 on tcp://*:4400
INFO: 17:35:25.203751 messenger.go:132: Send to Server 0 on tcp://localhost:4004
INFO: 17:35:25.203841 messenger.go:115: Receive from Server 1 on tcp://*:4401
INFO: 17:35:25.203901 messenger.go:132: Send to Server 1 on tcp://localhost:4104
INFO: 17:35:25.203993 messenger.go:115: Receive from Server 2 on tcp://*:4402
INFO: 17:35:25.204068 messenger.go:132: Send to Server 2 on tcp://localhost:4204
INFO: 17:35:25.204132 messenger.go:115: Receive from Server 3 on tcp://*:4403
INFO: 17:35:25.204222 messenger.go:132: Send to Server 3 on tcp://localhost:4304
INFO: 17:35:25.204290 messenger.go:115: Receive from Server 5 on tcp://*:4405
INFO: 17:35:25.204369 messenger.go:132: Send to Server 5 on tcp://localhost:4504
INFO: 17:35:25.204434 messenger.go:115: Receive from Server 6 on tcp://*:4406
INFO: 17:35:25.204511 messenger.go:132: Send to Server 6 on tcp://localhost:4604
INFO: 17:35:25.204575 messenger.go:115: Receive from Server 7 on tcp://*:4407
INFO: 17:35:25.204656 messenger.go:132: Send to Server 7 on tcp://localhost:4704
INFO: 17:35:25.204721 messenger.go:115: Receive from Server 8 on tcp://*:4408
INFO: 17:35:25.204810 messenger.go:132: Send to Server 8 on tcp://localhost:4804
INFO: 17:35:25.204903 messenger.go:115: Receive from Server 9 on tcp://*:4409
INFO: 17:35:25.204985 messenger.go:132: Send to Server 9 on tcp://localhost:4904
INFO: 17:35:25.205013 messenger.go:138: -----------------------------------------
INFO: 17:35:25.205086 messenger.go:160: Requests from Client 0 on tcp://*:7400
INFO: 17:35:25.216651 messenger.go:177: Response to Client 0 on tcp://*:10400
INFO: 17:35:25.216707 messenger.go:182: -----------------------------------------

INFO: 17:35:25.309500 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 17:35:25.350084 messenger.go:426: SENT BVB to 0
INFO: 17:35:25.350746 messenger.go:426: SENT BVB to 2
INFO: 17:35:25.351009 messenger.go:426: SENT BVB to 3
INFO: 17:35:25.376914 messenger.go:502: RECEIVED BVB from 6
INFO: 17:35:25.438840 messenger.go:426: SENT BVB to 9
INFO: 17:35:25.439424 messenger.go:502: RECEIVED BVB from 9
INFO: 17:35:25.439782 messenger.go:502: RECEIVED BVB from 0
INFO: 17:35:25.439878 messenger.go:426: SENT BVB to 1
INFO: 17:35:25.440703 messenger.go:502: RECEIVED BC from 0
INFO: 17:35:25.441057 messenger.go:502: RECEIVED BVB from 8
INFO: 17:35:25.441298 messenger.go:502: RECEIVED BVB from 7
INFO: 17:35:25.442211 messenger.go:426: SENT BVB to 8
INFO: 17:35:25.401285 messenger.go:426: SENT BVB to 5
INFO: 17:35:25.437893 messenger.go:502: RECEIVED BVB from 1
INFO: 17:35:25.437897 messenger.go:426: SENT BVB to 6
INFO: 17:35:25.438723 messenger.go:502: RECEIVED BVB from 2
INFO: 17:35:25.401278 messenger.go:502: RECEIVED BVB from 5
INFO: 17:35:25.442208 messenger.go:426: SENT BVB to 7
INFO: 17:35:25.450463 binary_consensus.go:148: 4.BC: bin_values-[0]
INFO: 17:35:25.470939 messenger.go:426: SENT BC to 5
INFO: 17:35:25.472671 messenger.go:426: SENT BC to 1
INFO: 17:35:25.473402 messenger.go:426: SENT BC to 2
INFO: 17:35:25.473983 messenger.go:426: SENT BC to 0
INFO: 17:35:25.475016 messenger.go:502: RECEIVED BVB from 3
INFO: 17:35:25.475572 messenger.go:426: SENT BC to 6
INFO: 17:35:25.477349 messenger.go:426: SENT BC to 7
INFO: 17:35:25.486311 messenger.go:502: RECEIVED BC from 2
INFO: 17:35:25.486465 messenger.go:426: SENT BC to 3
INFO: 17:35:25.499208 messenger.go:502: RECEIVED BC from 7
INFO: 17:35:25.499728 messenger.go:502: RECEIVED BC from 6
INFO: 17:35:25.501567 messenger.go:502: RECEIVED BC from 3
INFO: 17:35:25.503425 messenger.go:502: RECEIVED BC from 9
INFO: 17:35:25.503637 binary_consensus.go:77: 4.BC: vals-[0] coin-0
INFO: 17:35:25.503733 binary_consensus.go:82: 4.BC: decide-0
INFO: 17:35:25.512172 messenger.go:502: RECEIVED BC from 5
INFO: 17:35:25.513112 messenger.go:426: SENT BC to 8
INFO: 17:35:25.522593 messenger.go:502: RECEIVED BC from 1
INFO: 17:35:25.527392 messenger.go:426: SENT BC to 9
INFO: 17:35:25.530244 messenger.go:502: RECEIVED BC from 8
