INFO: 17:27:48.777404 main.go:29: ID:1 | N:10 | F:3 | Clients:1 | Scenario:NORMAL | Remote:false

INFO: 17:27:48.777862 messenger.go:85: Receive from Server 0 on tcp://*:4100
INFO: 17:27:48.778018 messenger.go:102: Send to Server 0 on tcp://localhost:4001
INFO: 17:27:48.778110 messenger.go:85: Receive from Server 2 on tcp://*:4102
INFO: 17:27:48.778155 messenger.go:102: Send to Server 2 on tcp://localhost:4201
INFO: 17:27:48.778299 messenger.go:85: Receive from Server 3 on tcp://*:4103
INFO: 17:27:48.778351 messenger.go:102: Send to Server 3 on tcp://localhost:4301
INFO: 17:27:48.778419 messenger.go:85: Receive from Server 4 on tcp://*:4104
INFO: 17:27:48.778462 messenger.go:102: Send to Server 4 on tcp://localhost:4401
INFO: 17:27:48.778537 messenger.go:85: Receive from Server 5 on tcp://*:4105
INFO: 17:27:48.778582 messenger.go:102: Send to Server 5 on tcp://localhost:4501
INFO: 17:27:48.778650 messenger.go:85: Receive from Server 6 on tcp://*:4106
INFO: 17:27:48.778692 messenger.go:102: Send to Server 6 on tcp://localhost:4601
INFO: 17:27:48.778762 messenger.go:85: Receive from Server 7 on tcp://*:4107
INFO: 17:27:48.778804 messenger.go:102: Send to Server 7 on tcp://localhost:4701
INFO: 17:27:48.778870 messenger.go:85: Receive from Server 8 on tcp://*:4108
INFO: 17:27:48.778920 messenger.go:102: Send to Server 8 on tcp://localhost:4801
INFO: 17:27:48.778988 messenger.go:85: Receive from Server 9 on tcp://*:4109
INFO: 17:27:48.779031 messenger.go:102: Send to Server 9 on tcp://localhost:4901
INFO: 17:27:48.779091 messenger.go:108: -----------------------------------------
INFO: 17:27:48.779127 messenger.go:130: Requests from Client 0 on tcp://*:7100
INFO: 17:27:48.779193 messenger.go:147: Response to Client 0 on tcp://*:10100
INFO: 17:27:48.779214 messenger.go:150: -----------------------------------------

INFO: 17:27:48.783891 main.go:83: Initial estimate value:  1
INFO: 17:27:48.783980 binary_consensus.go:23: 4.BC: bcid-1 round-1
INFO: 17:27:48.883361 messenger.go:341: RECEIVED BVB from 0
INFO: 17:27:48.885089 messenger.go:341: RECEIVED BVB from 2
INFO: 17:27:48.885174 messenger.go:265: SENT BVB to 3
INFO: 17:27:48.900919 messenger.go:341: RECEIVED BVB from 4
INFO: 17:27:48.913487 messenger.go:265: SENT BVB to 2
INFO: 17:27:48.913550 messenger.go:265: SENT BVB to 0
INFO: 17:27:48.914000 messenger.go:341: RECEIVED BVB from 7
INFO: 17:27:48.914141 messenger.go:341: RECEIVED BVB from 9
INFO: 17:27:48.914230 messenger.go:265: SENT BVB to 4
INFO: 17:27:48.914655 messenger.go:265: SENT BVB to 9
INFO: 17:27:48.917081 messenger.go:341: RECEIVED BVB from 6
INFO: 17:27:48.919833 messenger.go:341: RECEIVED BVB from 5
INFO: 17:27:48.945768 messenger.go:265: SENT BVB to 2
INFO: 17:27:48.946841 messenger.go:265: SENT BVB to 3
INFO: 17:27:48.948672 messenger.go:341: RECEIVED BVB from 4
INFO: 17:27:48.948763 messenger.go:265: SENT BVB to 0
INFO: 17:27:48.956294 messenger.go:265: SENT BVB to 7
INFO: 17:27:48.956453 messenger.go:341: RECEIVED BVB from 3
INFO: 17:27:48.966722 messenger.go:341: RECEIVED BVB from 0
INFO: 17:27:48.966803 messenger.go:265: SENT BVB to 4
INFO: 17:27:48.966940 messenger.go:341: RECEIVED BVB from 2
INFO: 17:27:48.966996 messenger.go:265: SENT BVB to 6
INFO: 17:27:48.967117 messenger.go:341: RECEIVED BVB from 3
INFO: 17:27:48.979111 messenger.go:341: RECEIVED BVB from 8
INFO: 17:27:48.984952 messenger.go:265: SENT BVB to 5
INFO: 17:27:48.995851 messenger.go:265: SENT BVB to 6
INFO: 17:27:49.000298 messenger.go:265: SENT BVB to 5
INFO: 17:27:49.000630 messenger.go:341: RECEIVED BVB from 9
